"name","mz","ionmode"
"SPB 17:2;2O",282.24385,"neg"
"SPB 17:2;3O",298.23877,"neg"
"SPB 17:3;2O",280.2282,"neg"
"SPB 17:3;3O",296.22312,"neg"
"SPB 18:0;2O",300.2908,"neg"
"SPB 18:0;3O",316.28572,"neg"
"SPB 18:1;2O",298.27515,"neg"
"SPB 18:1;3O",314.27007,"neg"
"SPB 18:2;2O",296.2595,"neg"
"SPB 18:2;3O",312.25442,"neg"
"SPB 18:3;2O",294.24385,"neg"
"SPB 18:3;3O",310.23877,"neg"
"SPB 19:0;2O",314.30645,"neg"
"SPB 19:0;3O",330.30137,"neg"
"SPB 19:1;2O",312.2908,"neg"
"SPB 19:1;3O",328.28572,"neg"
"SPB 19:2;2O",310.27515,"neg"
"SPB 19:2;3O",326.27007,"neg"
"SPB 19:3;2O",308.2595,"neg"
"SPB 19:3;3O",324.25442,"neg"
"SPB 20:0;2O",328.3221,"neg"
"SPB 20:0;3O",344.31702,"neg"
"SPB 20:1;2O",326.30645,"neg"
"SPB 20:1;3O",342.30137,"neg"
"SPB 20:2;2O",324.2908,"neg"
"SPB 20:2;3O",340.28572,"neg"
"SPB 20:3;2O",322.27515,"neg"
"SPB 20:3;3O",338.27007,"neg"
"SPB 21:0;2O",342.33775,"neg"
"SPB 21:0;3O",358.33267,"neg"
"SPB 21:1;2O",340.3221,"neg"
"SPB 21:1;3O",356.31702,"neg"
"SPB 21:2;2O",338.30645,"neg"
"SPB 21:2;3O",354.30137,"neg"
"SPB 21:3;2O",336.2908,"neg"
"SPB 21:3;3O",352.28572,"neg"
"SPB 22:0;2O",356.3534,"neg"
"SPB 22:0;3O",372.34832,"neg"
"SPB 22:1;2O",354.33775,"neg"
"SPB 22:1;3O",370.33267,"neg"
"SPB 22:2;2O",352.3221,"neg"
"SPB 22:2;3O",368.31702,"neg"
"SPB 22:3;2O",350.30645,"neg"
"SPB 22:3;3O",366.30137,"neg"
"SPB 23:0;2O",370.36905,"neg"
"SPB 23:0;3O",386.36397,"neg"
"SPB 23:1;2O",368.3534,"neg"
"SPB 23:1;3O",384.34832,"neg"
